Lot #,REG #,Name,ProS,HB,GM,CED,BW,WW,YW,ADG,DMI,M,ME,HPG,CEM,STAY,Marb,YG,CW,REA,FAT
93,5174373,LOOSLI FLASHDRIVE 5120,101,51,50,20,-6.8,64,104,0.25,0.78,27,6,13,10,14,0.65,0.13,9,-0.12,0.04
94,5174305,LOOSLI ADVANTAGE 584,70,31,39,12,-2.2,75,115,0.25,0.95,30,4,14,7,9,0.32,0.15,33,-0.02,0.02
95,5174345,LOOSLI COMPLETE 5106,135,80,55,15,-1,74,122,0.3,1.12,31,13,13,8,20,0.49,0.14,28,0.07,0.03
96,5174391,LOOSLI MISSION 5129,129,66,63,9,-0.7,70,111,0.25,1.11,31,5,14,6,16,0.66,0.02,25,0.41,0.03
97,5174421,LOOSLI LEAD 5144,140,69,71,14,-2.1,83,136,0.33,1.02,29,7,15,8,15,0.55,0.23,43,0.08,0.05
98,5174399,LOOSLI DELEGATE 5133,57,25,32,12,-2.1,77,121,0.28,0.51,30,2,8,6,11,0.31,0.01,10,0,0
99,5174443,LOOSLI COLLUSION 5155,130,57,73,10,-0.3,81,136,0.34,0.96,26,4,11,6,15,0.51,-0.01,31,0.22,-0.01
100,5174491,LOOSLI COMPLETE 5179,112,41,71,12,-1.1,75,121,0.29,0.86,29,11,12,7,14,0.59,0.12,35,0.18,0.03
101,5174423,LOOSLI ADVANTAGE 5145,106,66,40,15,-4.2,78,118,0.25,1.07,33,7,13,7,17,0.45,0.13,27,-0.14,0
102,5174417,LOOSLI DELEGATE 5142,91,55,36,15,-2,73,114,0.25,0.66,24,4,8,7,16,0.41,-0.03,8,0.13,0
103,5174365,LOOSLI HARD DRIVE 5116,139,75,64,11,-1.8,78,128,0.31,0.7,29,10,15,6,18,0.44,0.09,31,0.09,0.01
104,5174295,LOOSLI ADVANTAGE 579,96,17,80,11,-3.2,77,119,0.26,1.27,28,5,14,7,7,0.8,0.07,41,0.2,0
105,5174285,LOOSLI LEAD 574,115,96,19,16,-2.3,72,118,0.29,0.68,23,6,14,8,21,0.2,0.13,10,-0.16,0.03
106,5174509,LOOSLI HARD DRIVE 5188,138,79,59,13,-3.1,74,118,0.28,0.92,32,8,13,7,19,0.5,-0.01,26,0.4,0.02
107,5174231,LOOSLI FLASHDRIVE 547,141,73,68,17,-3.5,71,116,0.28,1.22,28,18,10,9,20,0.86,-0.04,13,0.24,0.01
108,5174375,LOOSLI MISSION 5121,118,62,56,11,-2.2,67,108,0.25,0.94,27,2,14,7,14,0.52,0.04,24,0.33,0.03
109,5174315,LOOSLI COLLUSION 590 T,67,34,33,12,-1.5,64,103,0.24,0.86,22,4,13,7,11,0.42,0.03,7,-0.18,-0.01
110,5174281,LOOSLI LEAD 572,111,80,30,14,-3.7,63,100,0.23,0.98,23,5,15,7,19,0.44,0.05,8,0.02,0.02
111,5174351,LOOSLI AGENT 5109,73,46,27,21,-5.7,61,93,0.2,0.63,30,4,11,11,13,0.45,0.13,7,-0.38,0.01
112,5174325,LOOSLI FLASHDRIVE 596,108,52,56,14,-2.3,69,114,0.29,0.9,21,2,11,7,15,0.67,0.07,10,-0.19,0
