Lot #,Reg #,ID,Name,BD,ProS,HB,GM,CED,BW,WW,YW,ADG,M,ME,HPG,CEM,ST,MA,YG,CW,RE
81,4598075,252,LOOSLI ULTIMATUM 252,02-05-2022,93,61,33,11,-0.8,58,95,0.23,26,6,15,7,15,0.6,0.14,16,-0.1
82,4598621,279,LOOSLI STATUS 279,02-10-2022,122,73,49,15,-3.6,64,113,0.31,31,3,14,9,16,0.47,0.19,27,0
83,4598077,2136,LOOSLI IMPETUS 2136,03-11-2022,118,95,24,15,-5.5,52,77,0.16,26,0,12,10,20,0.63,0.17,10,-0.2
84,4598185,204,LOOSLI ULTIMATUM 204,01-21-2022,91,70,21,12,-0.7,62,103,0.26,29,6,16,6,17,0.31,0.02,19,0.27
85,4598291,211,LOOSLI STOCKMARKET 211,01-24-2022,128,60,68,12,0.2,76,134,0.36,24,10,10,7,17,0.74,0.12,24,0.11
86,4598057,241,LOOSLI SUMMIT 241,2/2/2022,114,81,33,13,-2.1,63,99,0.22,25,0,14,6,19,0.54,0.1,20,0.13
87,4598107,2108,LOOSLI SUMMIT 2108,02-27-2022,71,61,10,12,-1.7,57,89,0.2,27,7,13,6,17,0.51,-0.05,-4,0.08
88,4598373,2174,LOOSLI PROFITEER 2174,03-30-2022,81,50,30,10,-0.6,75,121,0.29,25,15,13,5,17,0.59,0.06,21,0.16
89,4598319,2127,LOOSLI PORTFOLIO 2127,03-08-2022,116,77,38,16,-5.1,69,107,0.24,30,10,11,10,19,0.58,0.13,29,0.1
90,4597967,274,LOOSLI MISSION 274,02-09-2022,102,46,56,11,0.7,68,106,0.24,33,5,13,5,14,0.79,0.19,29,-0.04
91,4598223,248,LOOSLI SPARTACUS 248,02-04-2022,67,46,21,17,-4.3,67,105,0.24,34,4,9,10,13,0.4,0.2,26,0
92,4597953,267,LOOSLI STILLWATER 267,02-08-2022,116,56,59,8,1.9,72,114,0.26,30,11,12,4,18,0.67,0.11,37,0.2
93,4598593,284,LOOSLI HOBO 284,02-12-2022,100,72,28,14,-3,61,91,0.19,29,-2,12,8,17,0.4,0.12,28,0.04
94,4598559,2115,LOOSLI PORTER 2115,03-03-2022,58,1,57,17,-3.7,62,101,0.24,30,7,12,9,6,0.61,-0.02,28,0.53
95,4598037,232,LOOSLI SUMMIT 232,01-31-2022,130,98,31,11,-2.3,66,104,0.24,30,4,14,6,22,0.6,0.13,16,0.02
96,4598683,2120,LOOSLI PROFITEER 2120,03-05-2022,82,22,60,10,0.3,86,140,0.33,27,10,11,6,11,0.63,0.16,47,0.2
97,4598523,2142,LOOSLI PORTFOLIO 2142,03-14-2022,125,76,49,22,-6,69,113,0.28,31,12,12,13,18,0.72,0.25,25,-0.04
98,4598265,2143,LOOSLI PORTFOLIO 2143,03-14-2022,131,70,61,16,-2.8,66,116,0.31,27,11,11,10,18,0.54,0.03,32,0.32
99,4598299,293,LOOSLI MISSION 293,02-18-2022,97,51,46,11,-1.8,62,97,0.22,25,9,12,5,16,0.69,0.1,29,0.21
100,4598001,220,LOOSLI ULTIMATUM 220,01-29-2022,102,76,26,14,-2.9,52,85,0.2,32,8,17,8,17,0.58,0.25,17,-0.22
101,4598053,221,LOOSLI MISSION 221,01/29/22,106,64,42,16,-4.3,52,84,0.2,23,3,13,9,16,0.6,0.12,20,0.09
102,4598459,2153,LOOSLI PORTFOLIO 2153,03-23-2022,73,18,55,17,-6.8,66,108,0.26,28,10,11,11,9,0.71,0.12,28,0.06
103,4598375,2200,LOOSLI FORTUNE 2200,04-17-2022,76,42,34,12,-2.2,66,118,0.32,37,10,12,8,13,0.29,0.12,28,0.25
104,4598237,231,LOOSLI SILVER 231,01-31-2022,97,63,35,12,-1.7,65,112,0.29,35,15,15,8,16,0.31,0.2,37,0.09
105,4598025,2177,LOOSLI IMPETUS 2177,03-31-2022,87,76,10,16,-2.1,75,111,0.23,24,0,13,9,16,0.18,-0.11,20,0.39
106,4597965,2202,LOOSLI PORTFOLIO 2202,04-20-2022,104,45,60,11,-0.9,82,132,0.31,28,10,11,6,14,0.72,0.01,23,0.16
107,4598431,2123,LOOSLI SILVER 2123,03-06-2022,87,43,45,10,-1.2,73,123,0.31,37,10,14,6,13,0.28,0.12,47,0.27
108,4598029,275,LOOSLI TRIAD 275,02-09-2022,106,69,37,13,-2.4,58,89,0.19,24,-4,16,8,14,0.52,0.08,9,-0.15
109,4598639,271,LOOSLI TRIAD 271,02-09-2022,140,74,66,19,-5.3,56,98,0.26,29,3,14,11,16,0.77,0.23,30,-0.09
110,4598393,2188,LOOSLI ULTIMATUM 2188,04-08-2022,82,65,16,12,-2.5,59,105,0.29,29,10,14,7,17,0.38,0.17,13,-0.2
