Reg #,Reg Type,Prefix,Animal ID,Name,Sex,Birth Date,ProS,ProS%,HerdBuilder,HerdBuilder %,GridMaster,GridMaster %,CED,CED Acc,CED %,BW,BW Acc,BW %,WW,WW Acc,WW %,YW,YW Acc,YW %,ADG,ADG Acc,ADG %,DMI,DMI Acc,DMI %,Milk,Milk Acc,Milk %,ME,ME Acc,ME %,HPG,HPG Acc,HPG %,CEM,CEM Acc,CEM %,Stay,Stay Acc,Stay %,Marb,Marb Acc,Marb %,YG,YG Acc,YG %,CW,CW Acc,CW %,RE,RE Acc,RE %,BF,BF Acc,BF %,name,sex_a,bday4,id,pfx,Cat,%b1,clr,hps,mating,bw,bw_a,bw_r,ww_a,ww_r,yw_a,yw_r,adg,adg_r,wda,wda_r,hip,frm,scr,scr_a,mppa,dmppa,us_mb_a,us_mb_r,us_rea_a,us_rea_r,us_bf_a,us_bf_r,Parentage,GenomicData,ProS,ProS%,herdbuilder,herdbuilder_pr,gridmaster,gridmaster_pr,epd_ced,epd_ced_acc,epd_ced_pr,epd_bw,epd_bw_acc,epd_bw_pr,epd_ww,epd_ww_acc,epd_ww_pr,epd_yw,epd_yw_acc,epd_yw_pr,epd_adg,epd_adg_acc,epd_adg_pr,epd_dmi,epd_dmi_acc,epd_dmi_pr,epd_milk,epd_milk_acc,epd_milk_pr,epd_me,epd_me_acc,epd_me_pr,epd_hpg,epd_hpg_acc,epd_hpg_pr,epd_cem,epd_cem_acc,epd_cem_pr,epd_stay,epd_stay_acc,epd_stay_pr,epd_marb,epd_marb_acc,epd_marb_pr,epd_yg,epd_yg_acc,epd_yg_pr,epd_cw,epd_cw_acc,epd_cw_pr,epd_rea,epd_rea_acc,epd_rea_pr,epd_fat,epd_fat_acc,epd_fat_pr,sire_reg#,sire_name,dam_reg#,dam_bdate,dam_name,ss_reg,ss_name,sd_reg,sd_name,ds_reg,ds_name,dd_reg,dd_name,sss_reg,sss_name,ssd_reg,ssd_name,sds_reg,sds_name,sdd_reg,sdd_name,dss_reg,dss_name,dsd_reg,dsd_name,dds_reg,dds_name,ddd_reg,ddd_name,owner_name,
3768727,R,WSA,E016,ANDRAS BOURNE SILVER E016,B,02-13-2017,110,58,77,51,32,59,8,55,92,0.8,70,88,85,66,2,137,67,3,0.32,67,6,2.15,37,95,34,25,3,4,65,74,15,27,14,4,30,90,14,28,64,0.31,51,68,0.22,39,97,36,53,12,0.07,50,52,0.05,37,96,ANDRAS BOURNE SILVER E016,B,02-13-2017,E016,WSA,A,100% AR,1,P,AI,84,85,108,840,110,1368,109,3.29,106,3.69,108,,,42.94,42.94,,107,5.44,108,12.98,101,0.49,116,Sire qualifies; dam not on file.,GGP,110,58,77,51,32,59,8,55,92,0.8,70,88,85,66,2,137,67,3,0.32,67,6,2.15,37,95,34,25,3,4,65,74,15,27,14,4,30,90,14,28,64,0.31,51,68,0.22,39,97,36,53,12,0.07,50,52,0.05,37,96,1627789,5L BOURNE 117-48A,1600057,12-01-2012,ANDRAS LUCINDA 2123,1450210,5L ADVANTAGE 3267-221Y,1187248,5L ROXIE 854-117,1238416,WHITE OAKS COPPER 873,1022557,ANDRAS LUCINDA 514,1260155,BUF CRK THE RIGHT KIND U199,1187800,5L ADINA 195-3267,1047725,5L SIGNATURE 5615,612767,XXX ROXIE 854 MR,968783,HLH OUTER LIMIT 851 4073,1107587,WOF MISS COPPERTOP 674,896420,ANDRAS TRAVELER 297,851633,ANDRAS LUCINDA 360,ANDRAS STOCK FARM,
3992632,R,FRI,8218,FEDDES FRONTLINE C16-8218,B,01-26-2018,114,52,69,67,45,37,17,50,10,-4.1,62,15,53,57,75,95,58,54,0.26,58,28,1.43,23,50,29,18,17,5,61,80,11,21,53,9,27,16,14,27,60,0.22,44,85,-0.01,36,18,24,47,37,0.15,47,37,-0.01,32,7,FEDDES FRONTLINE C16-8218,B,01-26-2018,8218,FRI,A,100% AR,1,P,AI,66,70,87,696,102,1132,102,2.71,99,2.99,98,,,,,,93,3.15,83,13.18,103,0.19,79,Sire qualifies; dam not on file.,GGP,114,52,69,67,45,37,17,50,10,-4.1,62,15,53,57,75,95,58,54,0.26,58,28,1.43,23,50,29,18,17,5,61,80,11,21,53,9,27,16,14,27,60,0.22,44,85,-0.01,36,18,24,47,37,0.15,47,37,-0.01,32,7,3549925,LASO FRONT ROW X37D,3469615,01-22-2015,FEDDES LARKABU X21-C16,1725576,5L OUT IN FRONT 1701-457B,1048957,LASO LEANNA BC114R,1445368,LSF SAGA 1040Y,1368609,FEDDES LARKABU X21,1426142,C-T THE QUEST 1103,1449612,5L FIREFLY 3109-1701,492175,BASIN HOBO 79E,918583,LASO LEANNA BC 114,1042135,BECKTON EPIC R397 K,1305733,LSF MINOLA T7172 W9041,1025891,FEDDES BIG SKY R9,1235064,FEDDES LARKABU 827,,
3992838,R,FRI,8233,FEDDES STILLWATER B70-8233,B,02-01-2018,179,2,84,38,96,1,12,53,53,1.1,67,90,68,62,25,117,64,16,0.3,64,11,1.84,24,83,32,20,6,1,64,54,10,21,73,6,28,62,17,27,32,1.06,46,1,0.17,39,90,40,50,8,0.23,49,25,0.05,38,92,FEDDES STILLWATER B70-8233,B,02-01-2018,8233,FRI,A,100% AR,1,P,AI,78,80,100,731,106,1245,108,3.2,111,3.36,107,,,,,,106,6.69,177,12.17,96,0.31,119,Sire qualifies; dam not on file.,GGP,179,2,84,38,96,1,12,53,53,1.1,67,90,68,62,25,117,64,16,0.3,64,11,1.84,24,83,32,20,6,1,64,54,10,21,73,6,28,62,17,27,32,1.06,46,1,0.17,39,90,40,50,8,0.23,49,25,0.05,38,92,3539689,FEDDES BRUNSWICK D202,1687224,02-27-2014,FEDDES SLEEK 8116 B70,1687147,FEDDES SILVER BOW B226,1368609,FEDDES LARKABU X21,1432777,LOOSLI RIGHT KIND 107,1235165,FEDDES SLEEK 8116,1441805,BROWN JYJ REDEMPTION Y1334,1423157,FEDDES LAKINA Y17,1025891,FEDDES BIG SKY R9,1235064,FEDDES LARKABU 827,1260155,BUF CRK THE RIGHT KIND U199,1319890,MISS LL DESIGN 949,1025891,FEDDES BIG SKY R9,1025915,FEDDES SLEEK R33,,
4047064,R,PIE,835,PIE FORTUNE 835,B,01-25-2018,119,44,73,59,46,35,11,52,66,-2.7,64,33,66,61,32,124,62,9,0.36,62,2,2.36,19,98,36,18,2,2,63,59,15,25,10,8,25,34,12,22,86,0.21,46,86,0.01,36,24,30,48,23,0.59,43,4,0.04,36,89,PIE FORTUNE 835,B,01-25-2018,835,PIE,A,100% AR,1,P,AI,75,83,99,674,97,1296,107,3.88,122,3.26,104,,,,,,100,3.83,97,15.87,110,0.53,133,Sire qualifies; dam not on file.,GGP,119,44,73,59,46,35,11,52,66,-2.7,64,33,66,61,32,124,62,9,0.36,62,2,2.36,19,98,36,18,2,2,63,59,15,25,10,8,25,34,12,22,86,0.21,46,86,0.01,36,24,30,48,23,0.59,43,4,0.04,36,89,3555188,9 MILE FRANCHISE 6305,3603772,02-22-2016,PIE PRIMETTE 6023,3469042,SPUR FRANCHISE OF GARTON,1430755,C-BAR ABIGRACE Y11,1724196,PIE LEGEND 468,1280567,PIE PRIMETTE 884,3318198,SPUR FRANCHISE 7070,3469041,H & H IRENE LASS 0135,1240434,TR COLT 45 UT806,1186433,C-BAR & BROWN ABIGRACE T712,1445368,LSF SAGA 1040Y,1575307,PIE POTEET 2372,993330,HXC MAGNUM 4464P,1137723,PIE PRIMETTE 6194,LOOSLI FARMS,
3482168,R,5L4L,03C,5L ULTIMATUM 1893-03C,B,01-24-2015,145,15,92,23,54,24,11,67,67,-0.5,80,71,93,78,1,141,79,2,0.3,79,11,2.57,37,99,24,40,58,2,67,57,20,27,1,4,46,92,14,32,67,0.9,61,1,0.29,50,99,41,66,7,0.2,64,29,0.09,53,99,5L ULTIMATUM 1893-03C,B,01-24-2015,03C,5L4L,A,100% AR,1,P,AI,66,74,97,731,121,1245,114,3.2,105,3.17,113,,,,,,103,7.5,149,14.44,114,0.39,149,Sire qualifies; dam not on file.,GGP,145,15,92,23,54,24,11,67,67,-0.5,80,71,93,78,1,141,79,2,0.3,79,11,2.57,37,99,24,40,58,2,67,57,20,27,1,4,46,92,14,32,67,0.9,61,1,0.29,50,99,41,66,7,0.2,64,29,0.09,53,99,1627789,5L BOURNE 117-48A,1620102,02-25-2013,5L PRETTY GUN 1300-1893,1450210,5L ADVANTAGE 3267-221Y,1187248,5L ROXIE 854-117,1450177,5L PRECISE 2777-248Y,1379964,5L SYBILLI 1728-1300,1260155,BUF CRK THE RIGHT KIND U199,1187800,5L ADINA 195-3267,1047725,5L SIGNATURE 5615,612767,XXX ROXIE 854 MR,1260155,BUF CRK THE RIGHT KIND U199,1187604,5L REDBIRD 135-2777,1187423,5L TRADESMAN 1715-6237,1261721,5L SYBILLI 1593-1728,MEHLHOFF,LARINDA
3964923,R,CPH,802,GLACIER SHADE 802,B,02-11-2018,99,73,68,68,31,62,17,47,8,-6.7,56,2,57,53,65,87,54,70,0.19,54,73,1.2,17,30,35,26,2,1,23,53,7,19,94,10,29,12,14,19,60,0.47,39,35,0.09,35,64,11,46,76,-0.25,43,96,0,35,18,GLACIER SHADE 802,B,02-11-2018,802,CPH,A,100% AR,1,P,AI,70,70,109,715,103,1179,103,2.9,102,3.23,102,,,,,,104,,,,,,,Sire qualifies; dam not on file.,,99,73,68,68,31,62,17,47,8,-6.7,56,2,57,53,65,87,54,70,0.19,54,73,1.2,17,30,35,26,2,1,23,53,7,19,94,10,29,12,14,19,60,0.47,39,35,0.09,35,64,11,46,76,-0.25,43,96,0,35,18,1628086,WFL MERLIN 018A,1373580,02-16-2010,GLACIER HI-RB-LSTA 013,1176927,LJC MERLIN T179,1443573,WFL COMMITMENT 042Y,119274,LEACHMAN EBV 3531,700292,GLACIER HI-RB-LSTA 9114,960383,LJC MISSION STATEMENT P27,922265,BUF CRK REDPRIDE N179,1120008,BROWN COMMITMENT S7206,1321705,WFL JEWELMAKER 9024,70973,PBC D0202 6M H3554,228608,JHL A R PHILLIPE 325,499294,TASSEL ROBIN HOOD 78E,152930,GLACIER HI-RB-LS,,
3907215,R,LBLF,804,LOOSLI RIVERSIDE 804,B,01-16-2018,104,66,94,20,10,92,15,41,19,-0.7,48,68,79,47,6,127,48,7,0.3,48,11,2.38,18,98,31,16,10,3,54,66,15,21,13,8,19,27,15,22,56,0.18,40,91,0.07,33,53,21,42,45,0.2,38,29,0.03,35,78,LOOSLI RIVERSIDE 804,B,01-16-2018,804,LBLF,A,100% AR,1,P,AI,75,83,100,714,114,1257,112,3.38,109,3.21,103,,,,,,108,3.61,89,13.92,109,0.29,110,Sire qualifies; dam not on file.,GGP,104,66,94,20,10,92,15,41,19,-0.7,48,68,79,47,6,127,48,7,0.3,48,11,2.38,18,98,31,16,10,3,54,66,15,21,13,8,19,27,15,22,56,0.18,40,91,0.07,33,53,21,42,45,0.2,38,29,0.03,35,78,1714259,LOOSLI RIVERSIDE 414,3571532,02-11-2016,MISS LOOSLI FRONTIER 648,1441805,BROWN JYJ REDEMPTION Y1334,1528146,MISS LOOSLI HANNAH 2116,1671573,ANDRAS FRONTIER A084,1386687,MISS LL CAMELOT 0117,979031,BECKTON NEBULA P P707,1327069,JYJ MS JOLENE W16,1191523,LOOSLI CONRAD 724,1319905,MISS LL DESIGN 927,1506922,ANDRAS NEW DIRECTION R240,1375260,ANDRAS DEEDEE 0001,1241443,LARSON CAMELOT 809,655071,MISS LL 507 909,,
1749754,R,KRN,5509C,LSF RSL SPECIAL FORCES 5509C,B,01-14-2015,125,36,109,5,16,85,14,58,37,-3.8,75,18,62,71,43,92,72,60,0.19,72,76,0.98,42,17,23,41,65,-3,67,29,10,30,62,6,42,59,21,23,3,0.38,49,52,0.07,42,52,4,55,90,-0.03,53,72,0.03,41,75,LSF RSL SPECIAL FORCES 5509C,B,01-14-2015,5509C,KRN,A,100% AR,1,P,AI,78,79,93,764,104,1368,103,3.75,101,3.65,100,49,4.79,35.48,35.48,,104,5.87,116,13.87,102,0.4,122,Sire qualifies; dam not on file.,,125,36,109,5,16,85,14,58,37,-3.8,75,18,62,71,43,92,72,60,0.19,72,76,0.98,42,17,23,41,65,-3,67,29,10,30,62,6,42,59,21,23,3,0.38,49,52,0.07,42,52,4,55,90,-0.03,53,72,0.03,41,75,1566470,LSF RHO TITONKA Z721,958127,02-26-2004,RAISLAND REBELLA 429-502,1260155,BUF CRK THE RIGHT KIND U199,1284813,MONTVUE 10K RACHILLE U393,560498,LCHMN BULLSEYE 1379G,475841,KRN REBA'S ROBIN,1050008,BUF CRK LANCER R017,1050016,BUF CRK SHOSHONE R353,794957,STALBURN KINDLE 10K,1011324,MONTVUE B221L RACHILLE P144,492433,LCHMN ON TARGET 1016E,404500,LEACHMAN DINA C1001,385484,LMAN ROBIN HOOD 1174B,404379,KRN REBELLA 805/314,,
1725734,R,FLR,492B,5L FRONTLINES 2871-492B,B,04-01-2014,117,47,61,80,56,21,16,54,18,-3.9,77,17,64,73,38,103,75,37,0.24,75,38,1.62,32,66,18,37,90,5,67,78,7,38,94,11,34,3,12,29,84,0.67,46,11,0.08,36,57,23,44,39,0.34,45,14,0.05,36,94,5L FRONTLINES 2871-492B,B,04-01-2014,492B,FLR,A,100% AR,1,P,NATURAL,68,72,84,641,97,1033,100,2.44,104,2.67,100,,,,,,100,3.77,92,12.4,105,0.08,50,Sire qualifies; dam not on file.,GGP,117,47,61,80,56,21,16,54,18,-3.9,77,17,64,73,38,103,75,37,0.24,75,38,1.62,32,66,18,37,90,5,67,78,7,38,94,11,34,3,12,29,84,0.67,46,11,0.08,36,57,23,44,39,0.34,45,14,0.05,36,94,1426142,C-T THE QUEST 1103,1449958,03-05-2011,5L LAKOTA 3749-2871,975924,HXC CONQUEST 4405P,1309253,C-T TINA 0972,1260155,BUF CRK THE RIGHT KIND U199,1314296,5L LAKOTA 1523-3749,387580,BECKTON JULIAN GG B571,845501,HXC ELLIE MAY MA638,806707,5L NORSEMAN KING 2291,1163093,C-T TINA 0706,1050008,BUF CRK LANCER R017,1050016,BUF CRK SHOSHONE R353,1115955,5L EXPEDITION 0052-5746,921136,5L LAKOTA 41C-1523,LOOSLI FARMS,
