Lot #,Reg #,ID,Name,ProS,HB,GM,CED,BW,WW,YW,ADG,DMI,Milk,ME,HPG,CEM,Stay,Marb,YG,CW,RE,BF
182,4517029,112,MISS LOOSLI TRIAD 112,114,75,39,17,-6.3,56,90,0.21,1.31,31,-3,12,10,16,0.5,0.22,25,-0.03,0.05
183,4516945,1170,MISS LOOSLI PORTER 1170,95,51,44,15,-2.8,63,103,0.25,1.44,33,6,12,9,14,0.42,0.14,30,0.22,0.05
184,4504807,135,MISS LOOSLI SPATACUS 135,77,36,41,17,-6.6,60,96,0.23,1.56,21,4,7,10,13,0.55,0.13,24,0.11,0.04
185,4504887,151,MISS LOOSLI SPARTACUS 151,77,41,36,14,-2.7,55,85,0.18,1.02,25,-4,9,8,13,0.55,0.09,12,-0.03,0.02
186,4516985,1155,MISS LOOSLI ULTIMATUM 1155,106,67,39,16,-4,59,99,0.25,1.78,28,7,13,9,17,0.54,0.2,24,-0.01,0.05
187,4516999,1165,MISS LOOSLI STILLWATER 1165,137,70,67,12,-0.2,72,119,0.3,1.85,30,5,13,7,17,0.78,0.17,37,0.2,0.05
188,4516805,1113,MISS LOOSLI STILLWATER 1113,138,89,49,16,-0.8,63,100,0.23,1.72,31,3,10,9,21,0.64,0.11,29,0.1,0.02
189,4516885,186,MISS LOOSLI STILLWATER 186,141,82,59,14,-1.6,59,96,0.23,1.62,24,-2,12,9,18,0.81,0.13,26,0.09,0.04
190,4516979,1108,MISS LOOSLI PORTER 1108,89,55,35,16,-3.2,66,107,0.26,1.56,28,8,14,10,14,0.35,0.15,30,0.2,0.05
191,4516963,1174,MISS LOOSLI SILVER 1174,78,56,22,10,-0.3,74,119,0.28,2.28,40,11,13,5,17,0.32,0.21,36,0.01,0.04
192,4516871,1117,MISS LOOSLI DESIGN 1117,117,91,26,12,-0.6,62,99,0.23,1.78,27,3,15,7,20,0.6,0.16,11,-0.11,0.04
193,4504901,159,MISS LOOSLI TRIAD 159,114,76,38,16,-4.2,60,95,0.22,1.41,32,-3,11,10,16,0.52,0.17,23,0,0.05
194,4516937,1124,MISS LOOSLI FRONTLINE 1124,85,54,31,12,-1.4,72,114,0.26,1.98,25,9,9,8,16,0.4,0.12,31,0.2,0.04
195,4504915,166,MISS LOOSLI PRECISION 166,85,66,19,15,-4.5,62,100,0.24,2.01,38,9,13,8,18,0.27,0.17,29,-0.02,0.03
196,4517009,1172,MISS LOOSLI FRONTLINE 1172,89,49,40,14,-2.8,65,103,0.24,1.75,25,10,10,9,15,0.54,0.06,24,0.28,0.04
