LOT #,Reg #,Name,ProS,HB,GM,CED,BW,WW,YW,ADG,Milk,ME,HPG,CEM,Stay,Marb,YG,CW,RE,BF
53,4281377,LOOSLI STILLWATER 068,153,97,56,14,-0.6,72,122,0.32,31,1,13,8,16,0.48,0.16,32,0.1,0.04
54,4281373,LOOSLI RIVERSIDE 066,130,106,24,8,-1.1,64,96,0.2,32,3,14,5,20,0.41,0.04,24,0.13,0.01
55,4281219,LOOSLI FRANCHISE 037,120,86,34,13,-3.8,65,108,0.27,31,0,16,8,13,0.32,0.09,23,0.3,0.05
56,4281559,LOOSLI SPECIAL FORCES 0111,114,87,27,12,-3.8,61,94,0.21,29,0,9,5,19,0.49,0.04,9,0.02,0.02
57,4281735,LOOSLI TRIAD 0152,142,103,39,13,-2.7,75,117,0.26,23,4,11,7,19,0.46,0.09,33,0.24,0.03
58,4281543,LOOSLI MERLIN 0103,124,80,44,16,-6.9,53,84,0.19,34,3,12,9,15,0.57,0.13,21,-0.01,0.03
59,4281215,LOOSLI STILLWATER 035,171,115,56,16,-2.1,60,99,0.24,23,-2,17,8,19,0.66,0.08,19,0.01,0.02
60,4281165,LOOSLI TOP LINE 009,143,88,55,16,-5.1,60,107,0.29,29,3,17,8,15,0.41,0.09,23,0.07,0.02
61,4281189,LOOSLI 804-021,127,108,19,13,-1.4,71,108,0.23,29,2,11,6,21,0.36,0.03,17,0.26,0.03
62,4281375,LOOSLI FULLBACK 067,93,68,25,6,2.3,73,118,0.28,29,-1,13,2,14,0.08,-0.02,29,0.27,-0.01
63,4281471,LOOSLI BOURNE 091,133,73,60,12,-2.6,75,120,0.28,30,1,18,4,12,0.71,0.13,27,0.06,0.03
64,4281457,LOOSLI SILVER 084,142,101,42,11,-1,67,108,0.26,29,0,13,6,19,0.36,0.2,30,0.05,0.05
65,4281459,LOOSLI BOURNE 085,137,87,50,14,-2.2,73,116,0.27,27,1,18,5,15,0.65,0.16,25,0.07,0.05
66,4281483,LOOSLI TOP LINE 097,119,86,33,12,-0.7,59,95,0.23,30,4,12,7,17,0.15,0.02,26,0.1,-0.01
67,4281437,LOOSLI STILLWATER 074,159,101,57,12,0.3,72,111,0.24,33,0,15,6,18,0.76,0.04,23,0.18,0.02
68,4281771,LOOSLI DEFENDER 0170,118,110,8,12,-0.7,65,101,0.22,25,6,17,7,14,0.55,0.03,12,-0.01,0
69,4281469,LOOSLI FULLBACK 090,101,91,11,6,0.6,65,102,0.23,30,0,10,4,20,0.02,0.07,25,0.1,0.02
70,4281357,LOOSLI FULL BACK 058,119,103,16,9,0.4,69,109,0.25,26,-3,14,5,18,0.23,0.03,10,0.1,0.02
71,4281479,LOOSLI FRONTLINE JR 095,114,78,36,15,-3.3,52,92,0.25,28,5,12,8,16,0.26,0.05,15,-0.12,-0.01
72,4281201,LOOSLI TREMENDOUS 028,74,55,19,13,-1.6,50,69,0.12,29,5,17,7,10,0.61,0.08,-1,-0.25,0.02
73,4281339,LOOSLI FORTUNE 049,125,63,62,15,-1.8,74,130,0.35,28,1,10,9,11,0.39,0.04,34,0.24,0
