reg#,Reg Type,name,sex_a,bday4,id,pfx,Cat,%b1,clr,hps,mating,bw,bw_a,bw_r,ww_a,ww_r,yw_a,yw_r,adg,adg_r,wda,wda_r,hip,frm,scr,scr_a,mppa,dmppa,us_mb_a,us_mb_r,us_rea_a,us_rea_r,us_bf_a,us_bf_r,Parentage,GenomicData,ProS,ProS%,herdbuilder,herdbuilder_pr,gridmaster,gridmaster_pr,epd_ced,epd_ced_acc,epd_ced_pr,epd_bw,epd_bw_acc,epd_bw_pr,epd_ww,epd_ww_acc,epd_ww_pr,epd_yw,epd_yw_acc,epd_yw_pr,epd_adg,epd_adg_acc,epd_adg_pr,epd_dmi,epd_dmi_acc,epd_dmi_pr,epd_milk,epd_milk_acc,epd_milk_pr,epd_me,epd_me_acc,epd_me_pr,epd_hpg,epd_hpg_acc,epd_hpg_pr,epd_cem,epd_cem_acc,epd_cem_pr,epd_stay,epd_stay_acc,epd_stay_pr,epd_marb,epd_marb_acc,epd_marb_pr,epd_yg,epd_yg_acc,epd_yg_pr,epd_cw,epd_cw_acc,epd_cw_pr,epd_rea,epd_rea_acc,epd_rea_pr,epd_fat,epd_fat_acc,epd_fat_pr,sire_reg#,sire_name,dam_reg#,dam_bdate,dam_name,ss_reg,ss_name,sd_reg,sd_name,ds_reg,ds_name,dd_reg,dd_name,sss_reg,sss_name,ssd_reg,ssd_name,sds_reg,sds_name,sdd_reg,sdd_name,dss_reg,dss_name,dsd_reg,dsd_name,dds_reg,dds_name,ddd_reg,ddd_name,owner_name,
	4428819,R,VGE AGENT 124,B,02-02-2021,124,VGW,A,100% AR,1,P,AI,72,80,100,704,106,1139,100,2.71,92,2.9,93,,,39.0,39.0,,98,,,,,,,Sire and Dam qualify., GGP,139,12,78,12,61,32,14,55,41,-0.8,64,65,78,59,17,128,61,15,0.31,61,16,0.74,34,49,31,23,11,12,20,84,17,33,5,9,30,19,17,34,25,0.48,42,40,0.30,34,99,36,45,20,-0.14,41,88,0.06,35,95,3474996,BIEBER CL ATOMIC C218,4142878,02-19-2019,VGW RE-STAR 1956,1506931,ANDRAS FUSION R236,1437039,BIEBER DATELINE 308Y,2585268,RED U-2 RECKONING 294C,3554119,VGW MER-STAR 1656,1366634,ANDRAS IN FOCUS B175,1366639,ANDRAS BELLE B167,1025756,HUST CHIEF SEQUOYA R336,1189543,BASIN ROSE 7127,2519296,RED U-2 RECKONING 149A,2495753,RED U-2 LASSIE 16A,1696305,VGW MERCY- MERCY 412,1630355,VGW SS-STAR 1348,,	
 	4534673,R,C-BAR FORTUNE 263J,B,01-24-2021,263J,MCBR,A,100% AR,1,P,ET,81,81,,667,,1208,,3.38,,3.27,,,,,,,101,8.28,156,13.96,99,0.19,96,Sire and Dam qualify., GGP,129,19,67,25,62,30,16,59,14,-1.0,72,62,71,67,34,116,68,31,0.28,68,30,0.86,34,60,24,17,63,8,23,71,11,8,64,10,29,10,17,33,25,0.62,47,21,0.09,37,56,21,51,56,-0.10,45,84,0.00,36,21,4083822,LACY COLLUSION 115F,3743461,02-02-2017,C-BAR MIMI 707E,1255322,FRITZ JUSTICE 8013,1294780,LACY LAKOTA 8105,1506931,ANDRAS FUSION R236,1329048,DAMAR MIMI W085,1098436,VGW JUSTICE 614,1103381,FRITZ CHRIS 6047,924711,CCF GOLD BAR 0251,1148291,LACY MIS MIMI 6193,1366634,ANDRAS IN FOCUS B175,1366639,ANDRAS BELLE B167,1151261,RED FINE LINE MULBERRY 26P,1066666,DFRA TARMILY N512,,	
 	4504701,R,LOOSLI DELEGATE 102,B,01-17-2021,102,LBLF,A,100% AR,1,P,ET,84,84,,665,,1102,,2.73,,2.99,,,,,,,102,4.07,121,11.81,98,0.29,94,Sire and Dam qualify., GGP,100,51,65,27,35,74,24,54,1,-7.6,62,1,52,57,90,82,58,89,0.18,58,86,0.51,34,28,29,26,25,1,19,33,8,28,91,14,31,1,16,39,31,0.59,44,24,0.13,37,71,-1,48,97,-0.26,44,96,0.03,38,74,1617230,BIEBER SPARTACUS A193,1647982,01-23-2013,MISS LOOSLI RIGHT DESIGN 329,1363427,BIEBER ROUSE SAMURAI X22,1239863,BIEBER TILLY 233U,1432777,LOOSLI RIGHT KIND 107,1238049,LSF RSL REBELLA 820-646,786422,LCC CHEYENNE B221L,1035834,GHR MARITA R31,1039801,LCOC HIGH NOON A093R,663346,BIEBER TILLY 7334,1260155,BUF CRK THE RIGHT KIND U199,1319890,MISS LL DESIGN 949,859497,LCC STERLING B055M,1097771,RAISLAND REBELLA 646-120,LOOSLI FARMS,	
 	4298175,R,5L ON A MISSION 1307-33H,B,02-04-2020,33H,FLR,A,100% AR,1,P,AI,79,83,104,694,114,1084,104,2.43,90,2.84,99,,,,,,109,8.19,137,13.23,115,0.37,182,Sire qualifies; dam not on file., GGP,130,18,57,40,73,17,13,55,47,-1.2,70,59,66,65,54,99,67,65,0.21,67,75,0.86,30,60,28,27,33,-4,16,14,14,0,23,6,31,66,14,33,61,0.99,43,2,0.22,34,93,26,49,43,0.07,41,57,0.07,32,98,3948469,5L UP THE LIMIT 1096-54F,3745775,02-13-2017,5L MARTHA 1194-1307,3482168,5L ULTIMATUM 1893-03C,3547602,5L LAKOTA 5100-1096,3483291,5L LEADING EDGE 15383-117C,1701969,5L MARTHA 2142-1194,1627789,5L BOURNE 117-48A,1620102,5L PRETTY GUN 1300-1893,1701634,5L THE REAL DEAL 1687-143B,1395845,5L LAKOTA 687-5100,1627822,5L LEADING EDGE 1221-79A,1627641,5L RED BIRD 411-15383,1395593,5L FAMILY TRADITION 464-138X,1549368,5L MARTHA 3379-2142,LOOSLI FARMS,	
 	4281185,R,LOOSLI PERSEVERANCE 019,B,01-24-2020,019,LBLF,A,100% AR,1,P,AI,85,85,98,733,122,1344,121,3.82,120,3.63,120,,,,,,102,3.90,112,15.08,117,0.25,90,Sire qualifies; dam not on file., GGP,119,28,60,34,59,35,15,56,26,-2.0,74,45,77,68,19,129,70,14,0.32,70,12,1.25,33,87,35,23,3,6,21,60,11,21,55,9,28,24,15,34,42,0.48,48,40,0.05,36,38,28,48,37,0.18,44,38,0.01,35,34,3768727,ANDRAS BOURNE SILVER E016,1647982,01-23-2013,MISS LOOSLI RIGHT DESIGN 329,1627789,5L BOURNE 117-48A,1600057,ANDRAS LUCINDA 2123,1432777,LOOSLI RIGHT KIND 107,1238049,LSF RSL REBELLA 820-646,1450210,5L ADVANTAGE 3267-221Y,1187248,5L ROXIE 854-117,1238416,WHITE OAKS COPPER 873,1022557,ANDRAS LUCINDA 514,1260155,BUF CRK THE RIGHT KIND U199,1319890,MISS LL DESIGN 949,859497,LCC STERLING B055M,1097771,RAISLAND REBELLA 646-120,,	
 	4175072,R,5L PROFITEER 1117-15G,B,01-28-2019,15G,FLR,A,100% AR,1,P,NATURAL,72,79,104,670,108,1113,108,2.75,106,2.81,104,,,,,,102,5.09,87,12.84,106,0.35,150,Sire qualifies; dam not on file., GGP,99,52,51,48,48,52,12,58,60,-2.0,72,45,72,67,31,121,69,25,0.30,69,20,1.43,37,93,22,28,80,13,24,90,10,0,73,7,33,46,17,35,26,0.41,49,52,0.20,39,90,34,50,22,0.14,47,44,0.05,39,94,3483577,5L PROFITEER 1201-103C,3744523,02-11-2017,5L MATTIE 4284-1117,1549933,5L DEFENDER 560-30Z,1449923,5L RUBY 829-1201,3493671,5L BLAZIN STEEL 6120-81C,1725427,5L MATTIE 3039-4284,1330290,5L ADVOCATE 817-14W,727792,5L BLACK ADINA 525-560,1260155,BUF CRK THE RIGHT KIND U199,1314310,5L RUBY 162-829,1627759,5L RED STEEL 3521-10A,1395848,5L SUNBURST 2705-6120,1379620,5L BONFIRE 1715-126X,1314534,5L MATTIE 807-3039,,	
 	4527725,R,5L SUPREMACY 459-76J,B,02-07-2021,76J,FLR,A,100% AR,1,P,AI,76,83,105,751,119,1145,115,2.45,106,2.89,110,,,,,,103,4.23,98,13.16,116,0.19,112,Sire qualifies; dam not on file., GGP,108,41,70,20,37,70,15,52,29,-3.5,63,21,81,58,12,125,59,18,0.28,59,32,1.37,34,92,24,19,69,8,11,71,14,0,19,6,26,61,18,33,16,0.47,42,42,0.06,34,43,22,45,56,0.18,40,38,0.03,35,63,3949431,5L SUPREMACY 956-87F,4179864,02-05-2019,5L ADINA 5327-459,1627789,5L BOURNE 117-48A,3547517,5L SUNBURST 1974-956,3854657,5L DOUBLE UP 1610-19E,3746399,5L ADINA 3863-5327,1450210,5L ADVANTAGE 3267-221Y,1187248,5L ROXIE 854-117,1701634,5L THE REAL DEAL 1687-143B,1701778,5L SUNBURST 6120-1974,3483647,5L GAME ON 703-50C,1619947,5L ROXIE 121-653,1627539,5L TOP FLIGHT 3010-491A,1620028,5L ADINA 5761-3863,,	
 	4169122,R,BB PROPULSION 9096,B,03-15-2019,9096,BULL,A,100% AR,1,P,NATURAL,90,94,104,802,113,1176,109,2.32,98,3.24,103,,,,,,109,2.85,112,12.53,97,0.29,155,Sire and Dam qualify., GGP,123,25,64,28,58,36,11,70,66,-0.9,90,64,84,87,7,130,86,13,0.29,86,27,1.23,47,86,30,53,20,2,36,35,19,40,1,6,55,58,13,44,74,0.68,58,15,0.22,43,94,33,60,25,0.02,50,66,0.05,44,89,3838817,PIE ONE OF A KIND 777,3548862,04-10-2016,BB MS GINNIE 6256,1651711,PIE ONE OF A KIND 352,3509262,PIE JULY DALLES 569,1384618,LARSON SUN KING 016,1546808,BB MS GINNIE 6019-2057,1260155,BUF CRK THE RIGHT KIND U199,1483428,PIE FAYETTE 1160,1506922,ANDRAS NEW DIRECTION R240,1651875,3422 PIE,979031,BECKTON NEBULA P P707,1036146,LARSON TAMARA 545-556,1109534,MESSMER PACKER S008,1109555,MESSMER GINNIE S019,,	
 	4543551,R,TKP COMPLETE 1595,B,03-15-2021,1595,TKP,A,100% AR,1,P,ET,81,81,,576,,1146,,3.56,,3.17,,,,,,,112,5.85,,13.30,,0.43,,Sire and Dam qualify.,,108,41,27,82,80,11,15,56,30,-2.5,69,36,76,65,21,131,67,12,0.34,67,8,1.05,37,76,31,24,13,16,10,94,11,19,64,6,34,68,14,19,59,0.73,26,11,0.08,30,52,27,47,41,0.06,41,59,0.01,19,34,3796236,KJL/CLZB COMPLETE 7000E,3509284,01-25-2015,PIE RUBY 520,1652360,LEACHMAN PLEDGE A282Z,3496392,HXC 507C,1651711,PIE ONE OF A KIND 352,1657144,PIE RUBY 381,1368762,LSF NEXTPECTATION 0083X,3317786,LCOC ZARA TG004,979031,BECKTON NEBULA P P707,1054778,HXC    502R,1260155,BUF CRK THE RIGHT KIND U199,1483428,PIE FAYETTE 1160,1348362,PIE CODE RED 9058,1483404,PIE EXPO 1162,,	
 	4463653,R,BIEBER JUMPSTART J137,B,01-20-2021,J137,RAB,A,100% AR,1,P,AI,76,84,102,676,111,1382,126,4.4,144,3.49,126,50.0,5.63,34.32,34.32,,109,4.05,98,15.58,129,0.26,101,Sire and Dam qualify., GGP,127,20,63,31,65,26,16,75,20,-2.8,92,32,98,89,1,166,88,1,0.42,88,1,1.23,53,86,29,17,22,25,33,99,20,27,1,10,37,11,14,33,56,0.45,57,45,0.06,47,45,34,59,24,0.57,62,6,0.06,49,95,3958815,BIEBER CL ENERGIZE F121,4140526,03-01-2019,BIEBER GALLEE 390G,3474996,BIEBER CL ATOMIC C218,3537440,BIEBER CL ADELLE 575D,3467112,GMRA TRINITY 5222,3537085,BIEBER GALLEE 550D,1506931,ANDRAS FUSION R236,1437039,BIEBER DATELINE 308Y,1436718,BIEBER HARD DRIVE Y120,1437046,BIEBER ADELLE 297Y,1367533,GMRA TRILOGY 0226,1111627,GMRA INDIGO 615,1311331,BIEBER H HUGHES W109,1374904,BIEBER GALLEE 291X,,	
